Mã số sinh viên (Nếu học lớp 22DKHA1),Giới tính ,Trình độ học vấn: ,Ngành học,Độ tuổi,  Bạn đã từng sử dụng ứng dụng Microsoft Teams chưa?  ,  Mục đích chính bạn sử dụng Microsoft Teams là gì?  ,  Bạn thường sử dụng Microsoft Teams trên thiết bị nào?  ,I. CẢM NHẬN VỀ DỄ SỬ DỤNG (PEOU) [1. Tôi thấy Microsoft Teams dễ sử dụng.],I. CẢM NHẬN VỀ DỄ SỬ DỤNG (PEOU) [2. Việc học cách sử dụng Microsoft Teams là dễ dàng với tôi.],I. CẢM NHẬN VỀ DỄ SỬ DỤNG (PEOU) [3. Tôi dễ dàng tương tác với các tính năng trên Microsoft Teams.],I. CẢM NHẬN VỀ DỄ SỬ DỤNG (PEOU) [4. Tôi có thể nhanh chóng làm quen với Microsoft Teams.],I. CẢM NHẬN VỀ DỄ SỬ DỤNG (PEOU) [5. Tôi cảm thấy thoải mái khi học tập hoặc làm việc qua máy tính và Internet.],II. CẢM NHẬN VỀ TÍNH HỮU ÍCH (PU) [6. Microsoft Teams giúp tôi học tập hiệu quả hơn.],II. CẢM NHẬN VỀ TÍNH HỮU ÍCH (PU) [7. Microsoft Teams giúp tôi tiết kiệm thời gian khi học trực tuyến.],II. CẢM NHẬN VỀ TÍNH HỮU ÍCH (PU) [8. Microsoft Teams hỗ trợ tôi tổ chức và quản lý công việc học tập tốt hơn.],II. CẢM NHẬN VỀ TÍNH HỮU ÍCH (PU) [9. Microsoft Teams cải thiện năng suất học tập của tôi.],II. CẢM NHẬN VỀ TÍNH HỮU ÍCH (PU) [10. Việc sử dụng Microsoft Teams là hữu ích đối với tôi.], III. HỨNG THÚ KHI SỬ DỤNG (PE)  [11. Tôi cảm thấy hứng thú khi sử dụng Microsoft Teams để học tập.], III. HỨNG THÚ KHI SỬ DỤNG (PE)  [12. Tôi thích sử dụng Microsoft Teams hơn so với các ứng dụng khác.], III. HỨNG THÚ KHI SỬ DỤNG (PE)  [13. Việc học qua Microsoft Teams khiến tôi cảm thấy vui vẻ.], III. HỨNG THÚ KHI SỬ DỤNG (PE)  [14. Tôi cảm thấy thoải mái khi sử dụng Microsoft Teams.], III. HỨNG THÚ KHI SỬ DỤNG (PE)  [15. Tôi muốn tiếp tục sử dụng Microsoft Teams vì tôi cảm thấy thích thú.],IV. ẢNH HƯỞNG XÃ HỘI (SI) [16. Bạn bè hoặc người thân khuyến khích tôi sử dụng Microsoft Teams.],IV. ẢNH HƯỞNG XÃ HỘI (SI) [17. Giảng viên hoặc người quản lý khuyên tôi nên sử dụng Microsoft Teams.],IV. ẢNH HƯỞNG XÃ HỘI (SI) [18. Mọi người xung quanh tôi đều sử dụng Microsoft Teams.],IV. ẢNH HƯỞNG XÃ HỘI (SI) [19. Việc sử dụng Microsoft Teams khiến tôi cảm thấy hòa nhập với tập thể.],V. NĂNG LỰC CÔNG NGHỆ CÁ NHÂN (CSE) [20. Tôi tự tin rằng mình có thể sử dụng các ứng dụng trực tuyến mà không cần trợ giúp.],V. NĂNG LỰC CÔNG NGHỆ CÁ NHÂN (CSE) [21. Tôi có thể giải quyết các vấn đề nhỏ khi gặp lỗi trong quá trình học trực tuyến.],V. NĂNG LỰC CÔNG NGHỆ CÁ NHÂN (CSE) [22. Tôi có đủ kỹ năng để sử dụng phần mềm học tập như Microsoft Teams.],V. NĂNG LỰC CÔNG NGHỆ CÁ NHÂN (CSE) [23. Tôi có thể học cách sử dụng các công cụ mới trên nền tảng số một cách nhanh chóng.],V. NĂNG LỰC CÔNG NGHỆ CÁ NHÂN (CSE) [24. Tôi cảm thấy thoải mái khi học tập hoặc làm việc qua máy tính và Internet.],VI.  NHẬN THỨC  RỦI RO (PR) [25. Tôi lo ngại việc mất dữ liệu khi sử dụng Microsoft Teams.],VI.  NHẬN THỨC  RỦI RO (PR) [26. Tôi e ngại rằng thông tin cá nhân của mình có thể bị lộ khi sử dụng Microsoft Teams.],VI.  NHẬN THỨC  RỦI RO (PR) [27. Tôi sợ gặp trục trặc kỹ thuật khi sử dụng Microsoft Teams.],VI.  NHẬN THỨC  RỦI RO (PR) [28. Tôi cảm thấy việc sử dụng Microsoft Teams tiềm ẩn một số rủi ro.],VII. Ý ĐỊNH SỬ DỤNG (BI) [29. Tôi có ý định tiếp tục sử dụng Microsoft Teams trong tương lai],VII. Ý ĐỊNH SỬ DỤNG (BI) [30. Tôi sẽ thường xuyên sử dụng Microsoft Teams cho việc học tập.],VII. Ý ĐỊNH SỬ DỤNG (BI) [31. Tôi sẵn sàng giới thiệu Microsoft Teams cho người khác.],VII. Ý ĐỊNH SỬ DỤNG (BI) [32. Tôi sẽ chọn Microsoft Teams nếu có nhiều lựa chọn nền tảng khác nhau.],VIII.  MỨC ĐỘ SỬ DỤNG (AU) [33. Tôi thường xuyên đăng nhập vào Microsoft Teams để học tập hoặc làm việc.],VIII.  MỨC ĐỘ SỬ DỤNG (AU) [34. Tôi tham gia tích cực trong các hoạt động trên Microsoft Teams.],VIII.  MỨC ĐỘ SỬ DỤNG (AU) [35. Tôi sử dụng Microsoft Teams cho hầu hết các môn học hoặc công việc của mình.],1. Bạn có gặp khó khăn nào khi sử dụng Microsoft Teams không?,2. Bạn mong muốn Teams cải thiện điều gì để việc học/truyền đạt hiệu quả hơn?
,Nam,Sinh viên năm 1,Khoa học Dữ liệu,20–25,Chưa,"Gửi bài tập, tài liệu",Máy tính cá nhân (Laptop / PC),Không đồng ý,Không đồng ý,Đồng ý,Trung lập,Đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,,
,Nữ,Sinh viên năm 3,Công nghệ thông tin,20–25,Chưa,Tham gia lớp học online,Cả hai,Đồng ý,Đồng ý,Trung lập,Đồng ý,Hoàn toàn đồng ý,Không đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Trung lập,Đồng ý,Đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Đồng ý,,
,Nữ,Sinh viên năm 3,Công nghệ thông tin,20–25,Chưa,Tham gia lớp học online,Điện thoại di động,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Đồng ý,Không đồng ý,Trung lập,Hoàn toàn đồng ý,Đồng ý,Trung lập,Đồng ý,Đồng ý,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Không đồng ý,Không đồng ý,,
,Nam,Sinh viên năm 4,Khác,20–25,Có,Tham gia lớp học online,Máy tính cá nhân (Laptop / PC),Trung lập,Đồng ý,Hoàn toàn không đồng ý,Trung lập,Đồng ý,Đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Đồng ý,Đồng ý,Không đồng ý,Đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Không đồng ý,Đồng ý,Trung lập,Trung lập,Trung lập,Hoàn toàn đồng ý,Đồng ý,Đồng ý,,
,Nam,Sinh viên năm 4,Quản trị kinh doan,20–25,Có,"Gửi bài tập, tài liệu",Điện thoại di động,Không đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Đồng ý,Không đồng ý,Đồng ý,Trung lập,Không đồng ý,Trung lập,Hoàn toàn không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Đồng ý,Trung lập,Không đồng ý,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Trung lập,Trung lập,,
,Nữ,Sinh viên năm 3,Khoa học Dữ liệu,20–25,Có,"Gửi bài tập, tài liệu",Cả hai,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Hoàn toàn đồng ý,Đồng ý,Trung lập,Trung lập,Hoàn toàn đồng ý,Không đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Hoàn toàn đồng ý,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,,
,Nữ,Sinh viên năm 3,Quản trị kinh doan,20–25,Có,Làm việc nhóm / thảo luận,Máy tính cá nhân (Laptop / PC),Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Đồng ý,Trung lập,Đồng ý,Trung lập,Không đồng ý,Đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,,
,Nam,Sinh viên năm 1,Quản trị kinh doan,20–25,Có,"Làm việc nhóm / thảo luận;Gửi bài tập, tài liệu",Điện thoại di động,Trung lập,Không đồng ý,Trung lập,Trung lập,Hoàn toàn đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Đồng ý,Đồng ý,Đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,,
,Nữ,Sinh viên năm 3,Quản trị kinh doan,20–25,Có,Làm việc nhóm / thảo luận,Điện thoại di động,Không đồng ý,Hoàn toàn đồng ý,Đồng ý,Trung lập,Đồng ý,Đồng ý,Trung lập,Đồng ý,Trung lập,Đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Đồng ý,Đồng ý,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,,
,Nữ,Học viên cao học,Khoa học Dữ liệu,20–25,Có,Làm việc nhóm / thảo luận,Điện thoại di động,Đồng ý,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Không đồng ý,Trung lập,Đồng ý,Đồng ý,Trung lập,Đồng ý,Không đồng ý,Đồng ý,Không đồng ý,Đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Không đồng ý,Hoàn toàn không đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,,
,Nữ,Sinh viên năm 3,Công nghệ thông tin,20–25,Có,,Máy tính cá nhân (Laptop / PC),Trung lập,Trung lập,Đồng ý,Trung lập,Đồng ý,Đồng ý,Không đồng ý,Đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Hoàn toàn không đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Hoàn toàn đồng ý,Đồng ý,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,,
,Nam,Sinh viên năm 4,Công nghệ thông tin,20–25,Có,Tham gia lớp học online;Trao đổi với giảng viên,Máy tính cá nhân (Laptop / PC),Đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Đồng ý,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,,
,Nữ,Sinh viên năm 4,Công nghệ thông tin,20–25,Có,,Điện thoại di động,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Trung lập,Đồng ý,Hoàn toàn đồng ý,Đồng ý,Đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,,
,Nữ,Học viên cao học,Công nghệ thông tin,20–25,Có,"Gửi bài tập, tài liệu",Máy tính cá nhân (Laptop / PC),Trung lập,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Hoàn toàn không đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Hoàn toàn không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Hoàn toàn không đồng ý,Không đồng ý,,
,Nam,Học viên cao học,Quản trị kinh doan,20–25,Có,Tham gia lớp học online;Làm việc nhóm / thảo luận;Trao đổi với giảng viên,Máy tính cá nhân (Laptop / PC),Trung lập,Đồng ý,Không đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Đồng ý,Trung lập,Trung lập,Đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,,
,Nữ,Sinh viên năm 3,Khác,20–25,Có,Trao đổi với giảng viên,Máy tính cá nhân (Laptop / PC),Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Hoàn toàn đồng ý,Trung lập,Đồng ý,Trung lập,Đồng ý,Không đồng ý,Đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Đồng ý,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,,
,Nữ,,Khác,20–25,Có,"Gửi bài tập, tài liệu",Cả hai,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Trung lập,Đồng ý,Trung lập,Đồng ý,Đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Trung lập,Hoàn toàn không đồng ý,Không đồng ý,Trung lập,Đồng ý,Đồng ý,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,,
,Nam,Sinh viên năm 4,Quản trị kinh doan,20–25,Chưa,Làm việc nhóm / thảo luận,Cả hai,Trung lập,Trung lập,Không đồng ý,Trung lập,Hoàn toàn đồng ý,Đồng ý,Trung lập,Đồng ý,Đồng ý,Trung lập,Hoàn toàn không đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Hoàn toàn đồng ý,Đồng ý,Hoàn toàn đồng ý,Đồng ý,Đồng ý,Trung lập,Đồng ý,Không đồng ý,Đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,,
,Nam,Sinh viên năm 1,Quản trị kinh doan,20–25,Có,Tham gia lớp học online,Máy tính cá nhân (Laptop / PC),Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Đồng ý,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,,
,Nữ,Sinh viên năm 2,Khác,20–25,Có,,Máy tính cá nhân (Laptop / PC),Không đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Không đồng ý,Đồng ý,Đồng ý,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,Đồng ý,Đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Trung lập,,
,Nam,Sinh viên năm 3,Công nghệ thông tin,20–25,Có,Tham gia lớp học online,Cả hai,Đồng ý,Đồng ý,Đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Đồng ý,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Hoàn toàn không đồng ý,Trung lập,Đồng ý,Trung lập,,
,Nữ,Sinh viên năm 3,Công nghệ thông tin,20–25,Có,Làm việc nhóm / thảo luận;Trao đổi với giảng viên,Cả hai,Hoàn toàn không đồng ý,Không đồng ý,Không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Trung lập,Trung lập,Hoàn toàn không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Đồng ý,Trung lập,Không đồng ý,,
,Nữ,Sinh viên năm 2,Quản trị kinh doan,20–25,Có,Tham gia lớp học online;Làm việc nhóm / thảo luận,Điện thoại di động,Hoàn toàn không đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Hoàn toàn không đồng ý,Không đồng ý,Không đồng ý,Đồng ý,Đồng ý,Hoàn toàn không đồng ý,Hoàn toàn đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,,
,Nam,Sinh viên năm 1,Quản trị kinh doan,20–25,Chưa,Trao đổi với giảng viên,Máy tính cá nhân (Laptop / PC),Đồng ý,Hoàn toàn không đồng ý,Trung lập,Không đồng ý,Hoàn toàn không đồng ý,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Đồng ý,Trung lập,Đồng ý,Đồng ý,Đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Hoàn toàn đồng ý,,
,Nữ,Sinh viên năm 2,Công nghệ thông tin,20–25,Chưa,,Cả hai,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Đồng ý,,
,Nam,Sinh viên năm 4,Quản trị kinh doan,20–25,Chưa,Trao đổi với giảng viên,Máy tính cá nhân (Laptop / PC),Đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Đồng ý,Đồng ý,Hoàn toàn không đồng ý,Trung lập,Không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Trung lập,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Trung lập,Không đồng ý,Đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Đồng ý,Đồng ý,Trung lập,Đồng ý,Trung lập,Đồng ý,Đồng ý,,
,Nữ,Học viên cao học,Khoa học Dữ liệu,20–25,Chưa,"Tham gia lớp học online;Gửi bài tập, tài liệu",Điện thoại di động,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Đồng ý,Hoàn toàn đồng ý,Đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Hoàn toàn không đồng ý,Không đồng ý,Trung lập,Trung lập,,
,Nam,Sinh viên năm 2,Công nghệ thông tin,20–25,Có,"Làm việc nhóm / thảo luận;Gửi bài tập, tài liệu",Cả hai,Đồng ý,Đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Không đồng ý,Trung lập,Đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Trung lập,Đồng ý,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Đồng ý,Không đồng ý,Không đồng ý,Trung lập,,
,Nam,Sinh viên năm 4,Quản trị kinh doan,20–25,Có,Tham gia lớp học online,Máy tính cá nhân (Laptop / PC),Trung lập,Không đồng ý,Trung lập,Trung lập,Không đồng ý,Đồng ý,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Không đồng ý,Hoàn toàn không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Hoàn toàn không đồng ý,Không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Hoàn toàn không đồng ý,Trung lập,Trung lập,,
,Nữ,Sinh viên năm 3,Khác,20–25,Có,Làm việc nhóm / thảo luận,Máy tính cá nhân (Laptop / PC),Đồng ý,Đồng ý,Trung lập,Đồng ý,Đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Không đồng ý,Không đồng ý,Hoàn toàn không đồng ý,Hoàn toàn không đồng ý,Hoàn toàn không đồng ý,Đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Đồng ý,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,,
,Nữ,,Khác,20–25,Có,Làm việc nhóm / thảo luận,Cả hai,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Hoàn toàn không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Đồng ý,,
,Nam,Sinh viên năm 4,Công nghệ thông tin,20–25,Chưa,Tham gia lớp học online,Máy tính cá nhân (Laptop / PC),Đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,Đồng ý,Trung lập,Đồng ý,Trung lập,Hoàn toàn đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Hoàn toàn đồng ý,Đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Đồng ý,Đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,,
,Nam,Sinh viên năm 3,Khác,20–25,Có,,Cả hai,Không đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Đồng ý,Hoàn toàn đồng ý,Hoàn toàn không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Đồng ý,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,,
,Nam,Sinh viên năm 4,Khoa học Dữ liệu,20–25,Có,"Gửi bài tập, tài liệu",Cả hai,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,Hoàn toàn không đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Đồng ý,Đồng ý,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Đồng ý,Trung lập,Đồng ý,Trung lập,Đồng ý,,
,Nữ,Sinh viên năm 1,Công nghệ thông tin,20–25,Có,"Gửi bài tập, tài liệu",Điện thoại di động,Không đồng ý,Không đồng ý,Đồng ý,Trung lập,Đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Đồng ý,Không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Hoàn toàn đồng ý,Đồng ý,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Không đồng ý,Đồng ý,Trung lập,Trung lập,Không đồng ý,Đồng ý,Trung lập,Trung lập,,
,Nam,Sinh viên năm 4,Quản trị kinh doan,20–25,Có,"Gửi bài tập, tài liệu",Điện thoại di động,Không đồng ý,Đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,,
